model,task,split,selection_protocol,grouping_mode,condition,metric_name,score,damage_pp,top2_hit,top5_hit,n_samples,checkpoint_path,seed,git_commit,notes
pcpmae,scanobjectnn,obj_bg,official_checkpoint_eval_time_grouping,random_group,structured_keep20,Top-1 (%),9.810671210289001,1.5490531921386719,20.998278260231018,38.726332783699036,581,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/obj_bg/ckpt-best-95.53.pth,2026,7b7b788b372fc32c8a1a3be6a88682b25bf1095f,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints. grouping_mode is an eval-time patchization perturbation with checkpoint/readout fixed; fps_knn is the unmodified path."
pcpmae,scanobjectnn,obj_bg,official_checkpoint_eval_time_grouping,random_group,xyz_zero,Top-1 (%),9.294319897890091,2.0654045045375824,17.728054523468018,34.939759969711304,581,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/obj_bg/ckpt-best-95.53.pth,2026,7b7b788b372fc32c8a1a3be6a88682b25bf1095f,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints. grouping_mode is an eval-time patchization perturbation with checkpoint/readout fixed; fps_knn is the unmodified path."
pcpmae,shapenetpart,test,finetuned_from_public_pretrain_eval_time_grouping,fps_knn,clean,Instance mIoU (%),85.91751595419082,0.0,99.22632736386569,99.9999150519746,2874,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/part_seg_from_pretrain/best_model.pth,2026,7b7b788b372fc32c8a1a3be6a88682b25bf1095f,ShapeNetPart top-k is computed under the standard known-category part-label restriction used by the original evaluation. grouping_mode is an eval-time patchization perturbation with checkpoint/readout fixed; fps_knn is the unmodified path; checkpoint loaded with exact model-key coverage.
pcpmae,shapenetpart,test,finetuned_from_public_pretrain_eval_time_grouping,fps_knn,random_keep20,Instance mIoU (%),82.33148178294861,3.586034171242204,98.86280078396834,99.9997451559238,2874,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/part_seg_from_pretrain/best_model.pth,2026,7b7b788b372fc32c8a1a3be6a88682b25bf1095f,ShapeNetPart top-k is computed under the standard known-category part-label restriction used by the original evaluation. grouping_mode is an eval-time patchization perturbation with checkpoint/readout fixed; fps_knn is the unmodified path; checkpoint loaded with exact model-key coverage.
pcpmae,shapenetpart,test,finetuned_from_public_pretrain_eval_time_grouping,fps_knn,structured_keep20,Instance mIoU (%),55.23481986751491,30.68269608667591,90.24438187739213,99.97103272333855,2874,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/part_seg_from_pretrain/best_model.pth,2026,7b7b788b372fc32c8a1a3be6a88682b25bf1095f,ShapeNetPart top-k is computed under the standard known-category part-label restriction used by the original evaluation. grouping_mode is an eval-time patchization perturbation with checkpoint/readout fixed; fps_knn is the unmodified path; checkpoint loaded with exact model-key coverage.
pcpmae,shapenetpart,test,finetuned_from_public_pretrain_eval_time_grouping,fps_knn,largest_part_removed,Instance mIoU (%),46.2114477340123,39.706068220178516,92.70445970337508,99.99332308520354,2874,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/part_seg_from_pretrain/best_model.pth,2026,7b7b788b372fc32c8a1a3be6a88682b25bf1095f,ShapeNetPart top-k is computed under the standard known-category part-label restriction used by the original evaluation. grouping_mode is an eval-time patchization perturbation with checkpoint/readout fixed; fps_knn is the unmodified path; checkpoint loaded with exact model-key coverage.
pcpmae,shapenetpart,test,finetuned_from_public_pretrain_eval_time_grouping,fps_knn,xyz_zero,Instance mIoU (%),32.74879322835116,53.16872272583966,83.18263553627348,99.98131143441196,2874,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/part_seg_from_pretrain/best_model.pth,2026,7b7b788b372fc32c8a1a3be6a88682b25bf1095f,ShapeNetPart top-k is computed under the standard known-category part-label restriction used by the original evaluation. grouping_mode is an eval-time patchization perturbation with checkpoint/readout fixed; fps_knn is the unmodified path; checkpoint loaded with exact model-key coverage.
pcpmae,shapenetpart,test,finetuned_from_public_pretrain_eval_time_grouping,random_center_knn,clean,Instance mIoU (%),84.03480371755478,0.0,99.12775367519137,99.99993204157967,2874,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/part_seg_from_pretrain/best_model.pth,2026,7b7b788b372fc32c8a1a3be6a88682b25bf1095f,ShapeNetPart top-k is computed under the standard known-category part-label restriction used by the original evaluation. grouping_mode is an eval-time patchization perturbation with checkpoint/readout fixed; fps_knn is the unmodified path; checkpoint loaded with exact model-key coverage.
pcpmae,shapenetpart,test,finetuned_from_public_pretrain_eval_time_grouping,random_center_knn,random_keep20,Instance mIoU (%),78.94760773170388,5.087195985850897,98.49869655749825,99.99745155923799,2874,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/part_seg_from_pretrain/best_model.pth,2026,7b7b788b372fc32c8a1a3be6a88682b25bf1095f,ShapeNetPart top-k is computed under the standard known-category part-label restriction used by the original evaluation. grouping_mode is an eval-time patchization perturbation with checkpoint/readout fixed; fps_knn is the unmodified path; checkpoint loaded with exact model-key coverage.
pcpmae,shapenetpart,test,finetuned_from_public_pretrain_eval_time_grouping,random_center_knn,structured_keep20,Instance mIoU (%),53.399371080019385,30.635432637535395,88.86589629001391,99.97336029923451,2874,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/part_seg_from_pretrain/best_model.pth,2026,7b7b788b372fc32c8a1a3be6a88682b25bf1095f,ShapeNetPart top-k is computed under the standard known-category part-label restriction used by the original evaluation. grouping_mode is an eval-time patchization perturbation with checkpoint/readout fixed; fps_knn is the unmodified path; checkpoint loaded with exact model-key coverage.
