test_acc	variant	model_source	runset	log
0.7504	obj_bg_rope_only	-	patchcls_nepa2d_comp_objbg_ng64_20260228_063529	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_ng64_20260228_063529/obj_bg_rope_only.out
0.7504	obj_bg_rope_only	-	patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501/obj_bg_rope_only.out
0.7849	obj_bg_vanilla	-	patchcls_pmstrict_align_ng128_initpm_20260228_052736	logs/sanity/patchcls/patchcls_pmstrict_align_ng128_initpm_20260228_052736/obj_bg_vanilla.out
0.7694	obj_bg_vanilla	patchcls	patchcls_scratch_file_tta10_vanilla_recheck_20260228_233118	logs/sanity/patchcls/patchcls_scratch_file_tta10_vanilla_recheck_20260228_233118/obj_bg_vanilla.out
0.7659	obj_bg_vanilla	-	patchcls_pmstrict_align_ng64_initpm_20260228_063529	logs/sanity/patchcls/patchcls_pmstrict_align_ng64_initpm_20260228_063529/obj_bg_vanilla.out
0.8176	obj_only	-	patchcls_scan3_scratch_pmalign_20260227_202814	logs/sanity/patchcls/patchcls_scan3_scratch_pmalign_20260227_202814/obj_only.out
0.8055	obj_only	patchcls	patchcls_raypatch_s0_20260228_074613	logs/sanity/patchcls/patchcls_raypatch_s0_20260228_074613/obj_only.out
0.7883	obj_only	patchcls	patchcls_raypatch_s0_strict_20260228_075456	logs/sanity/patchcls/patchcls_raypatch_s0_strict_20260228_075456/obj_only.out
0.7831	obj_only	patchcls	patchnepa_ptonly_ft_from100047_20260301_004316	logs/sanity/patchcls/patchnepa_ptonly_ft_from100047_20260301_004316/obj_only.out
0.7797	obj_only	-	patchcls_scan3_scratch_h5_20260227_061351	logs/sanity/patchcls/patchcls_scan3_scratch_h5_20260227_061351/obj_only.out
0.7676	obj_only	-	patchcls_scan3_scratch_v3nonorm_20260227_055706	logs/sanity/patchcls/patchcls_scan3_scratch_v3nonorm_20260227_055706/obj_only.out
0.7212	obj_only	-	patchcls_scan3_scratch_retry2_20260227_053922	logs/sanity/patchcls/patchcls_scan3_scratch_retry2_20260227_053922/obj_only.out
0.7900	obj_only_h5	-	patchcls_objonly_parity_pointmae_20260227_070409	logs/sanity/patchcls/patchcls_objonly_parity_pointmae_20260227_070409/obj_only_h5.out
0.7750	obj_only_h5	-	patchcls_objonly_parity_pointmae_ddp4_20260227_143511	logs/sanity/patchcls/patchcls_objonly_parity_pointmae_ddp4_20260227_143511/obj_only_h5.out
0.7745	obj_only_h5	-	patchcls_objonly_parity_randomseed_20260227_063811	logs/sanity/patchcls/patchcls_objonly_parity_randomseed_20260227_063811/obj_only_h5.out
0.7719	obj_only_h5	-	patchcls_objonly_ddp4_ckpt_eval_nw0_20260227_143841	logs/sanity/patchcls/patchcls_objonly_ddp4_ckpt_eval_nw0_20260227_143841/obj_only_h5.out
0.7703	obj_only_h5	-	patchcls_objonly_ddp4_ckpt_eval_20260227_143730	logs/sanity/patchcls/patchcls_objonly_ddp4_ckpt_eval_20260227_143730/obj_only_h5.out
0.8365	obj_only_nepa2d	patchcls	patchcls_ft_from_patchnepa99710_20260228_181336	logs/sanity/patchcls/patchcls_ft_from_patchnepa99710_20260228_181336/obj_only_nepa2d.out
0.8003	obj_only_nepa2d	-	patchcls_pmstrict_align_ng128_initpm_20260228_052736	logs/sanity/patchcls/patchcls_pmstrict_align_ng128_initpm_20260228_052736/obj_only_nepa2d.out
0.7986	obj_only_nepa2d	patchcls	patchcls_ft_from_patchnepa_ptonly_onepass_20260228_222007	logs/sanity/patchcls/patchcls_ft_from_patchnepa_ptonly_onepass_20260228_222007/obj_only_nepa2d.out
0.7952	obj_only_nepa2d	patchnepa(direct)	patchnepaFT_from_ray_20260301_013921	logs/sanity/patchcls/patchnepaFT_from_ray_20260301_013921/obj_only_nepa2d.out
0.7849	obj_only_nepa2d	patchcls	patchcls_ft_from_patchnepa_pt16_rfpsbank_20260228_231732	logs/sanity/patchcls/patchcls_ft_from_patchnepa_pt16_rfpsbank_20260228_231732/obj_only_nepa2d.out
0.7849	obj_only_nepa2d	patchcls	patchcls_scratch_file_tta10_recheck_20260228_232553	logs/sanity/patchcls/patchcls_scratch_file_tta10_recheck_20260228_232553/obj_only_nepa2d.out
0.7797	obj_only_nepa2d	patchnepa(direct)	patchnepaFT_from_ptonly_fix_20260301_014058	logs/sanity/patchcls/patchnepaFT_from_ptonly_fix_20260301_014058/obj_only_nepa2d.out
0.7762	obj_only_nepa2d	patchcls	patchnepa_rayqa_ft_from100011_queryonly_20260301_002508	logs/sanity/patchcls/patchnepa_rayqa_ft_from100011_queryonly_20260301_002508/obj_only_nepa2d.out
0.7694	obj_only_nepa2d	-	patchcls_pmstrict_align_ng64_initpm_20260228_063529	logs/sanity/patchcls/patchcls_pmstrict_align_ng64_initpm_20260228_063529/obj_only_nepa2d.out
0.7900	obj_only_v3	-	patchcls_objonly_parity_pointmae_20260227_070409	logs/sanity/patchcls/patchcls_objonly_parity_pointmae_20260227_070409/obj_only_v3.out
0.7750	obj_only_v3	-	patchcls_objonly_parity_pointmae_ddp4_20260227_143511	logs/sanity/patchcls/patchcls_objonly_parity_pointmae_ddp4_20260227_143511/obj_only_v3.out
0.7728	obj_only_v3	-	patchcls_objonly_parity_randomseed_20260227_063811	logs/sanity/patchcls/patchcls_objonly_parity_randomseed_20260227_063811/obj_only_v3.out
