runset	variant	status	test_acc	model_source	log
patchnepaFT_from_ptonly_20260301_013921	obj_bg_nepa2d	no_test_acc	-	-	logs/sanity/patchcls/patchnepaFT_from_ptonly_20260301_013921/obj_bg_nepa2d.out
patchnepaFT_from_ptonly_fix_20260301_014058	obj_bg_nepa2d	completed	0.7590	patchnepa(direct)	logs/sanity/patchcls/patchnepaFT_from_ptonly_fix_20260301_014058/obj_bg_nepa2d.out
patchnepaFT_from_ray_20260301_013921	obj_bg_nepa2d	completed	0.7797	patchnepa(direct)	logs/sanity/patchcls/patchnepaFT_from_ray_20260301_013921/obj_bg_nepa2d.out
patchnepa_rayqa_ft_from100011_20260301_002046	obj_bg_nepa2d	no_test_acc	-	patchcls	logs/sanity/patchcls/patchnepa_rayqa_ft_from100011_20260301_002046/obj_bg_nepa2d.out
patchnepa_rayqa_ft_from100011_queryonly_20260301_002508	obj_bg_nepa2d	completed	0.7281	patchcls	logs/sanity/patchcls/patchnepa_rayqa_ft_from100011_queryonly_20260301_002508/obj_bg_nepa2d.out
patchnepa_rayqa_ft_from_patchnepa_rayqa_ddp16_dualmask_splitsep_rfpsbankfix_20260301_004055	obj_bg_nepa2d	no_test_acc	-	-	logs/sanity/patchcls/patchnepa_rayqa_ft_from_patchnepa_rayqa_ddp16_dualmask_splitsep_rfpsbankfix_20260301_004055/obj_bg_nepa2d.out
patchnepa_rayqa_ft_from_patchnepa_rayqa_ddp16_encdec1_splitsep_20260301_003524	obj_bg_nepa2d	no_test_acc	-	-	logs/sanity/patchcls/patchnepa_rayqa_ft_from_patchnepa_rayqa_ddp16_encdec1_splitsep_20260301_003524/obj_bg_nepa2d.out
patchnepa_rayqa_ft_from_patchnepa_rayqa_ddp16_encdec1_splitsep_rfpsbankfix_20260301_003806	obj_bg_nepa2d	no_test_acc	-	-	logs/sanity/patchcls/patchnepa_rayqa_ft_from_patchnepa_rayqa_ddp16_encdec1_splitsep_rfpsbankfix_20260301_003806/obj_bg_nepa2d.out
patchcls_nepa2d_comp_objbg_20260228_044626	obj_bg_off	completed	0.7642	-	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_20260228_044626/obj_bg_off.out
patchcls_nepa2d_comp_objbg_ng64_20260228_063529	obj_bg_off	completed	0.7212	-	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_ng64_20260228_063529/obj_bg_off.out
patchcls_nepa2d_comp_objbg_nopos_20260228_045548	obj_bg_off	no_test_acc	-	-	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_nopos_20260228_045548/obj_bg_off.out
