runset	variant	status	test_acc	model_source	log
patchcls_objonly_eval_repro_ddp_vs_single_cleanup_20260227_144836	pcpc_h5_d4	completed	0.7625	-	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_cleanup_20260227_144836/pcpc_h5_d4.out
patchcls_objonly_eval_repro_ddp_vs_single_cleanup_20260227_144836	pcpc_h5_s1	completed	0.7625	-	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_cleanup_20260227_144836/pcpc_h5_s1.out
patchcls_objonly_eval_repro_ddp_vs_single_cleanup_20260227_144836	pcpc_v3_d4	completed	0.7625	-	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_cleanup_20260227_144836/pcpc_v3_d4.out
patchcls_objonly_eval_repro_ddp_vs_single_cleanup_20260227_144836	pcpc_v3_s1	completed	0.7625	-	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_cleanup_20260227_144836/pcpc_v3_s1.out
patchcls_objonly_scratch_ddp4_bs64_vs_bs128_20260227_164159	pcsb128	completed	0.7952	-	logs/sanity/patchcls/patchcls_objonly_scratch_ddp4_bs64_vs_bs128_20260227_164159/pcsb128.out
patchcls_objonly_scratch_ddp4_bs64_vs_bs128_20260227_164159	pcsb64	completed	0.8003	-	logs/sanity/patchcls/patchcls_objonly_scratch_ddp4_bs64_vs_bs128_20260227_164159/pcsb64.out
patchcls_objonly_scratch_ddp4_bs128_20260227_150456	pcsb_h5_d4_bs128	no_test_acc	-	-	logs/sanity/patchcls/patchcls_objonly_scratch_ddp4_bs128_20260227_150456/pcsb_h5_d4_bs128.out
patchcls_objonly_scratch_ddp4_bs128_20260227_150456	pcsb_v3_d4_bs128	no_test_acc	-	-	logs/sanity/patchcls/patchcls_objonly_scratch_ddp4_bs128_20260227_150456/pcsb_v3_d4_bs128.out
patchcls_ptcmp_pb_t50_s0strict_20260228_140233	ptA	no_test_acc	-	patchcls	logs/sanity/patchcls/patchcls_ptcmp_pb_t50_s0strict_20260228_140233/ptA.out
patchcls_ptcmp_pb_t50_s0strict_r1024_20260228_140612	ptA	no_test_acc	-	patchcls	logs/sanity/patchcls/patchcls_ptcmp_pb_t50_s0strict_r1024_20260228_140612/ptA.out
patchcls_ptcmp_pb_t50_s0strict_20260228_140233	ptB	no_test_acc	-	patchcls	logs/sanity/patchcls/patchcls_ptcmp_pb_t50_s0strict_20260228_140233/ptB.out
patchcls_ptcmp_pb_t50_s0strict_r1024_20260228_140612	ptB	no_test_acc	-	patchcls	logs/sanity/patchcls/patchcls_ptcmp_pb_t50_s0strict_r1024_20260228_140612/ptB.out
patchcls_ptcmp_pb_t50_s0strict_20260228_140233	ptC	no_test_acc	-	patchcls	logs/sanity/patchcls/patchcls_ptcmp_pb_t50_s0strict_20260228_140233/ptC.out
patchcls_ptcmp_pb_t50_s0strict_r1024_20260228_140612	ptC	no_test_acc	-	patchcls	logs/sanity/patchcls/patchcls_ptcmp_pb_t50_s0strict_r1024_20260228_140612/ptC.out
patchcls_ptcmp_pb_t50_s0strict_20260228_140233	ptD	no_test_acc	-	patchcls	logs/sanity/patchcls/patchcls_ptcmp_pb_t50_s0strict_20260228_140233/ptD.out
patchcls_ptcmp_pb_t50_s0strict_r1024_20260228_140612	ptD	no_test_acc	-	patchcls	logs/sanity/patchcls/patchcls_ptcmp_pb_t50_s0strict_r1024_20260228_140612/ptD.out
patchcls_ptcmp_pb_t50_s0strict_20260228_140233	scratch	no_test_acc	-	patchcls	logs/sanity/patchcls/patchcls_ptcmp_pb_t50_s0strict_20260228_140233/scratch.out
patchcls_ptcmp_pb_t50_s0strict_r1024_20260228_140612	scratch	no_test_acc	-	patchcls	logs/sanity/patchcls/patchcls_ptcmp_pb_t50_s0strict_r1024_20260228_140612/scratch.out
patchcls_objonly_eval_repro_ddp_vs_single_20260227_144124	v3_ddp4	completed	0.7547	-	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_20260227_144124/v3_ddp4.out
patchcls_objonly_eval_repro_ddp_vs_single_fixeven_20260227_144243	v3_ddp4	no_test_acc	-	-	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_fixeven_20260227_144243/v3_ddp4.out
patchcls_objonly_eval_repro_ddp_vs_single_mainEval_20260227_144444	v3_ddp4	completed	0.7625	-	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_mainEval_20260227_144444/v3_ddp4.out
patchcls_objonly_eval_repro_ddp_vs_single_20260227_144124	v3_single	completed	0.7625	-	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_20260227_144124/v3_single.out
patchcls_objonly_eval_repro_ddp_vs_single_fixeven_20260227_144243	v3_single	no_test_acc	-	-	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_fixeven_20260227_144243/v3_single.out
patchcls_objonly_eval_repro_ddp_vs_single_mainEval_20260227_144444	v3_single	completed	0.7625	-	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_mainEval_20260227_144444/v3_single.out
