runset	variant	status	test_acc	patchnepa_ft_mode	pooling	cls_token	is_causal	model_source	log
patchnepaFT_objonly_fromEMA100_ema_20260301_170323	obj_only	completed	0.7969	qa_zeroa	cls_max	bos	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_objonly_fromEMA100_ema_20260301_170323/obj_only.out
patchnepaFT_objonly_fromEMA100_raw_20260301_170323	obj_only	completed	0.7401	qa_zeroa	cls_max	bos	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_objonly_fromEMA100_raw_20260301_170323/obj_only.out
patchnepaFT_objonly_from_multik124_gb128_20260301_174748	obj_only	completed	0.7108	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_objonly_from_multik124_gb128_20260301_174748/obj_only.out
patchnepaFT_objonly_from_skipk4_gb128_20260301_173714	obj_only	completed	0.7160	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_objonly_from_skipk4_gb128_20260301_173714/obj_only.out
patchnepaFT_objonly_interleave_fix_gb128_20260301_173714	obj_only	completed	0.7642	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_objonly_interleave_fix_gb128_20260301_173714/obj_only.out
patchnepaFT_rerun_dualmask_qonly_fix_20260301_133157	obj_only	completed	0.7814	q_only	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_rerun_dualmask_qonly_fix_20260301_133157/obj_only.out
patchnepaFT_rerun_dualmask_qonly_meanq_fix_20260301_133200	obj_only	completed	0.8090	q_only	mean_q	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_rerun_dualmask_qonly_meanq_fix_20260301_133200/obj_only.out
patchnepaFT_rerun_encdec1_qonly_fix_20260301_133155	obj_only	completed	0.7797	q_only	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_rerun_encdec1_qonly_fix_20260301_133155/obj_only.out
patchnepaFT_splitx2_dualmask_baseline_20260301_040740	obj_only	completed	0.8193	qa_zeroa	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_dualmask_baseline_20260301_040740/obj_only.out
patchnepaFT_splitx2_dualmask_qonly_20260301_040743	obj_only	no_test_acc	-	q_only	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_dualmask_qonly_20260301_040743/obj_only.out
patchnepaFT_splitx2_dualmask_qonly_meanq_20260301_040745	obj_only	no_test_acc	-	q_only	mean_q	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_dualmask_qonly_meanq_20260301_040745/obj_only.out
patchnepaFT_splitx2_encdec1_baseline_20260301_040736	obj_only	completed	0.7900	qa_zeroa	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_encdec1_baseline_20260301_040736/obj_only.out
patchnepaFT_splitx2_encdec1_qonly_20260301_040738	obj_only	no_test_acc	-	q_only	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_encdec1_qonly_20260301_040738/obj_only.out
patchnepa_ft_variants_20260301_223043	obj_only	completed	0.7074	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_ft_variants_20260301_223043/obj_only.out
patchnepa_refactor_repro1_20260301_021900	obj_only	completed	0.8072	-	cls_max	-	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_refactor_repro1_20260301_021900/obj_only.out
patchnepa_sanity6_20260301_224515_ft_rayind_fps_off_E12	obj_only	completed	0.6454	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_sanity6_20260301_224515_ft_rayind_fps_off_E12/obj_only.out
patchnepa_sanity6_20260301_224515_ft_rayind_fps_on_E12	obj_only	completed	0.5318	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_sanity6_20260301_224515_ft_rayind_fps_on_E12/obj_only.out
patchnepa_sanity6_20260301_224515_ft_rayind_random_off_E12	obj_only	completed	0.6833	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_sanity6_20260301_224515_ft_rayind_random_off_E12/obj_only.out
patchnepa_sanity6_20260301_224515_ft_rayind_random_on_E12	obj_only	completed	0.6196	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_sanity6_20260301_224515_ft_rayind_random_on_E12/obj_only.out
patchnepa_sanity6_20260301_224515_ft_rayind_rfps_cached_off_E12	obj_only	completed	0.6368	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_sanity6_20260301_224515_ft_rayind_rfps_cached_off_E12/obj_only.out
patchnepa_sanity6_20260301_224515_ft_rayind_rfps_cached_on_E12	obj_only	completed	0.6317	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_sanity6_20260301_224515_ft_rayind_rfps_cached_on_E12/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta0_tp0_r0	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta0_tp0_r0/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta0_tp0_r1	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta0_tp0_r1/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta0_tp1_r0	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta0_tp1_r0/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta0_tp1_r1	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta0_tp1_r1/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta1_tp0_r0	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta1_tp0_r0/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta1_tp0_r1	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta1_tp0_r1/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta1_tp1_r0	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta1_tp1_r0/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta1_tp1_r1	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d0_ta1_tp1_r1/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d1_ta0_tp0_r0	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d1_ta0_tp0_r0/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d1_ta0_tp0_r1	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d1_ta0_tp0_r1/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d1_ta0_tp1_r0	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d1_ta0_tp1_r0/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d1_ta0_tp1_r1	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d1_ta0_tp1_r1/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d1_ta1_tp0_r0	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d1_ta1_tp0_r0/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d1_ta1_tp0_r1	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d1_ta1_tp0_r1/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d1_ta1_tp1_r0	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d1_ta1_tp1_r0/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lI_d1_ta1_tp1_r1	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lI_d1_ta1_tp1_r1/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta0_tp0_r0	obj_only	completed	0.5525	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta0_tp0_r0/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta0_tp0_r1	obj_only	completed	0.3769	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta0_tp0_r1/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta0_tp1_r0	obj_only	completed	0.5594	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta0_tp1_r0/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta0_tp1_r1	obj_only	completed	0.4406	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta0_tp1_r1/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta1_tp0_r0	obj_only	completed	0.5525	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta1_tp0_r0/obj_only.out
