test_acc	variant	ft_mode	pooling	cls_token	is_causal	model_source	runset	log
0.7512	pb_t50_rs	q_only	cls_max	-	False	patchnepa(direct)	patchnepaFT_rerun_dualmask_qonly_fix_20260301_133157	logs/sanity/patchnepa_ft/patchnepaFT_rerun_dualmask_qonly_fix_20260301_133157/pb_t50_rs.out
0.7502	pb_t50_rs	qa_zeroa	cls_max	-	False	patchnepa(direct)	patchnepaFT_splitx2_encdec1_baseline_20260301_040736	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_encdec1_baseline_20260301_040736/pb_t50_rs.out
0.7488	pb_t50_rs	q_only	mean_q	-	False	patchnepa(direct)	patchnepaFT_rerun_dualmask_qonly_meanq_fix_20260301_133200	logs/sanity/patchnepa_ft/patchnepaFT_rerun_dualmask_qonly_meanq_fix_20260301_133200/pb_t50_rs.out
0.7487	obj_bg	-	cls_max	-	True	patchnepa(direct)	patchnepaFT_from_ray_causal_probe_20260301_020406	logs/sanity/patchnepa_ft/patchnepaFT_from_ray_causal_probe_20260301_020406/obj_bg.out
0.7435	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepaFT_from_fpscmp_rand_20260301_205548	logs/sanity/patchnepa_ft/patchnepaFT_from_fpscmp_rand_20260301_205548/obj_only.out
0.7401	obj_only	qa_zeroa	cls_max	bos	False	patchnepa(direct)	patchnepaFT_objonly_fromEMA100_raw_20260301_170323	logs/sanity/patchnepa_ft/patchnepaFT_objonly_fromEMA100_raw_20260301_170323/obj_only.out
0.7367	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepaFT_bindfix_llrdoff_default_20260302_005751	logs/sanity/patchnepa_ft/patchnepaFT_bindfix_llrdoff_default_20260302_005751/obj_only.out
0.7315	obj_only	qa_zeroa	cls_max	bos	False	patchnepa(direct)	patchnepaFT_objonly_fromB768_E300_20260301_165504	logs/sanity/patchnepa_ft/patchnepaFT_objonly_fromB768_E300_20260301_165504/obj_only.out
0.7315	obj_only	qa_zeroa	cls_max	bos	False	patchnepa(direct)	patchnepaFT_objonly_fromB768_probe_20260301_165321	logs/sanity/patchnepa_ft/patchnepaFT_objonly_fromB768_probe_20260301_165321/obj_only.out
0.7298	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepaFT_ablate_objonly_base_llrdcw_lastq_freeze1_20260301_170200	logs/sanity/patchnepa_ft/patchnepaFT_ablate_objonly_base_llrdcw_lastq_freeze1_20260301_170200/obj_only.out
